"Address","DNSNamehost"
"109.235.15.14","14.15.235.109.in-addr.arpa : DNS server failure."
"149.154.161.17","17.161.154.149.in-addr.arpa : DNS name does not exist."
"149.154.161.20","20.161.154.149.in-addr.arpa : DNS name does not exist."
"149.154.161.3","3.161.154.149.in-addr.arpa : DNS name does not exist."
"172.16.251.6","6.251.16.172.in-addr.arpa : DNS name does not exist."
"176.120.37.174","ip-174-37-120-176.corp.langate.ua"
"176.36.206.167","petrnad.la.net.ua"
"176.36.86.37","host-176-36-86-37.la.net.ua"
"178.93.151.196","mail4.policombank.com"
"185.34.224.10","10.224.34.185.in-addr.arpa : DNS name does not exist."
"185.34.224.179","179.224.34.185.in-addr.arpa : DNS name does not exist."
"185.41.248.34","mail.lime-systems.com"
"185.46.148.218","185-46-148-218.net.gigatrans.ua"
"188.247.113.16","16datagroup.ua"
"188.247.113.24","24datagroup.ua"
"193.104.210.7","7.210.104.193.in-addr.arpa : DNS name does not exist."
"193.105.249.10","10.249.105.193.in-addr.arpa : DNS name does not exist."
"193.111.188.146","poltavabank.com"
"193.30.253.164","164.253.30.193.in-addr.arpa : DNS name does not exist."
"193.30.253.180","180.253.30.193.in-addr.arpa : DNS name does not exist."
"193.30.253.182","182.253.30.193.in-addr.arpa : DNS name does not exist."
"193.30.253.246","246.253.30.193.in-addr.arpa : DNS name does not exist."
"193.30.253.61","61.253.30.193.in-addr.arpa : DNS name does not exist."
"194.140.239.131","fc.gerc.ua"
"195.248.162.134","sbank.a-teleport.com"
"212.1.118.22","oschadnybank.vn.ua"
"212.42.93.154","thaus1.un.net.ua"
"213.160.149.230","pcmx.ibox.ua"
"213.160.154.26","26.154.160.213.in-addr.arpa : DNS name does not exist."
"217.117.64.232","232.64.117.217.in-addr.arpa : DNS name does not exist."
"217.117.68.232","232.68.117.217.in-addr.arpa : DNS server failure."
"31.129.234.9","9.234.129.31.in-addr.arpa : DNS name does not exist."
"37.52.8.148","148-8-52-37.pool.ukrtel.net"
"37.73.57.177","177.57.73.37.in-addr.arpa : DNS name does not exist."
"46.149.176.85","tun-46-149-176-85.kim.in.ua"
"46.164.135.138","138.135.164.46.in-addr.arpa : DNS name does not exist."
"52.57.169.65","ec2-52-57-169-65.eu-central-1.compute.amazonaws.com"
"52.59.76.8","ec2-52-59-76-8.eu-central-1.compute.amazonaws.com"
"62.149.24.126","24-126.pinbank.cc.colocall.com"
"62.80.165.147","c.147.165.a418.dyn.adsl.cyfra.net"
"77.222.159.230","77-222-159-230-static.retail.datagroup.ua"
"80.254.1.90","90.1.254.80.in-addr.arpa : DNS name does not exist."
"82.207.91.234","234-91-207-82.ip.ukrtel.net"
"88.154.238.173","173.238.154.88.in-addr.arpa : DNS name does not exist."
"88.154.244.202","202.244.154.88.in-addr.arpa : DNS name does not exist."
"88.154.26.31","31.26.154.88.in-addr.arpa : DNS name does not exist."
"88.154.37.135","135.37.154.88.in-addr.arpa : DNS name does not exist."
"88.154.95.210","210.95.154.88.in-addr.arpa : DNS name does not exist."
"91.199.28.100","portmone.com"
"91.209.36.2","2.36.209.91.in-addr.arpa : DNS name does not exist."
"91.233.151.4","4.151.233.91.in-addr.arpa : DNS name does not exist."
"93.183.196.26","smtp.easysoft.com.ua"
"93.183.238.243","243.238.183.93.in-addr.arpa : DNS name does not exist."
"94.179.144.156","156-144-179-94.pool.ukrtel.net"
"95.134.195.74","74-195-134-95.pool.ukrtel.net"
